message,label
"""Join the competition and win great prizes.""",spam
"""Limited promotion! Order quickly.""",spam
"""Get your special coupon immediately.""",spam
"""New reward system launched. Join today.""",spam
"""Receive extra benefits by signing up.""",spam
"""Congratulations! You are our lucky customer.""",spam
"""Special discount available before midnight.""",spam
"""Claim your free item now.""",spam
"""Exclusive online offer created for you.""",spam
"""Earn rewards from your daily activities.""",spam
"""Free products available for early users.""",spam
"""Big sale! Lowest prices guaranteed.""",spam
"""Your special bonus is ready.""",spam
"""Get unlimited benefits with our premium plan.""",spam
"""Congratulations! You have won a special gift.""",spam
"""Activate your reward account today.""",spam
"""Free promotional items available now.""",spam
"""Shop today and receive extra discounts.""",spam
"""Limited-time giveaway starts now.""",spam
"""Get your free voucher instantly.""",spam
"""Special offer! Don't miss this opportunity.""",spam
"""Receive cashback after completing your purchase.""",spam
"""Win a smartphone by joining our contest.""",spam
"""Your exclusive deal is waiting.""",spam
"""Save more with our latest shopping event.""",spam
"""Congratulations! You are eligible for a free reward.""",spam
"""Get bonus points by registering today.""",spam
"""Free membership invitation available.""",spam
"""Claim your promotion before it ends.""",spam
"""Special reward available for loyal customers.""",spam
"""Earn money easily with our online service.""",spam
"""Your gift package is ready to be collected.""",spam
"""Big discount alert! Shop now.""",spam
"""Receive a free upgrade immediately.""",spam
"""Final chance! Claim your offer today.""",spam
"""Your account has been suspended. Verify your identity immediately.""",phishing
"""Security alert: suspicious login detected. Confirm your password now.""",phishing
"""Your bank account requires urgent verification. Click the secure link.""",phishing
"""Your email account will be closed unless you verify your information.""",phishing
"""Unusual activity detected. Login now to secure your account.""",phishing
"""Your password has expired. Reset it immediately using this link.""",phishing
"""Microsoft security team: confirm your account details to continue.""",phishing
"""Your Apple ID has been locked. Verify your information now.""",phishing
"""Bank alert: Your account access is limited. Confirm your details.""",phishing
"""We detected unauthorized activity. Please verify your account.""",phishing
"""Your online banking session has expired. Re-login to continue.""",phishing
"""Security warning: someone accessed your account. Change password now.""",phishing
"""Your payment information needs to be updated to avoid suspension.""",phishing
"""Your account will be permanently closed. Verify immediately.""",phishing
"""Confirm your identity to prevent account restriction.""",phishing
"""Your mailbox is full. Login to increase storage capacity.""",phishing
"""Important notice: Your account requires security confirmation.""",phishing
"""Your transaction was blocked. Verify your payment details.""",phishing
"""Your bank detected suspicious activity. Follow the verification process.""",phishing
"""Your profile information is incomplete. Update it now.""",phishing
"""Your account has been compromised. Reset your password immediately.""",phishing
"""Security check required. Confirm your login information.""",phishing
"""Your credit card has been disabled. Update your details now.""",phishing
"""Your subscription payment failed. Enter your card information again.""",phishing
"""Your account access will expire today. Verify now.""",phishing
"""Google security alert: suspicious sign-in detected on your account.""",phishing
"""Your account has unusual login attempts. Secure your account now.""",phishing
"""Confirm your password to restore account access.""",phishing
"""Your online service account is at risk. Verify your identity.""",phishing
"""Your banking profile needs confirmation immediately.""",phishing
"""Security notification: Login from unknown device detected.""",phishing
"""Your account has been restricted due to suspicious activity.""",phishing
"""Verify your personal information to unlock your account.""",phishing
"""Your payment method was rejected. Update your billing information.""",phishing
"""Your account recovery requires identity verification.""",phishing
"""Your email security settings need immediate confirmation.""",phishing
"""Your account has been temporarily locked. Click to unlock.""",phishing
"""Important security update required. Confirm your account details.""",phishing
"""Your password reset request is pending. Verify now.""",phishing
"""Your financial account needs verification to avoid closure.""",phishing
"""Your login credentials may have been exposed. Change them now.""",phishing
"""Your account protection has expired. Renew it immediately.""",phishing
"""Your transaction requires additional verification.""",phishing
"""Security alert from your bank. Confirm recent activity.""",phishing
"""Your account will be deleted unless you verify your identity.""",phishing
"""Your payment account has been blocked. Restore access now.""",phishing
"""Your device has been linked to another account. Verify ownership.""",phishing
"""Your email access has been limited. Confirm your details.""",phishing
"""Suspicious activity detected on your account. Login to review.""",phishing
"""Your security information needs updating. Complete verification.""",phishing
"""Your account verification failed. Submit your details again.""",phishing
"""Your bank requires confirmation of your personal information.""",phishing
"""Your account has been accessed from an unknown location.""",phishing
"""Your password must be updated due to security reasons.""",phishing
"""Your account is under review. Verify your information now.""",phishing
"""Confirm your identity to prevent unauthorized access.""",phishing
"""Your service account will be suspended without verification.""",phishing
"""Your payment details are outdated. Update them immediately.""",phishing
"""Your account has a security problem. Follow the instructions.""",phishing
"""Your login session expired. Sign in again to continue.""",phishing
"""Your security verification is incomplete. Finish it now.""",phishing
"""Your account needs urgent attention. Verify immediately.""",phishing
"""Your personal details have not been confirmed. Update now.""",phishing
"""Your online account has been flagged. Confirm ownership.""",phishing
"""Your bank security team needs your verification response.""",phishing
"""Your account recovery link is waiting. Confirm now.""",phishing
"""Your identity verification failed. Submit documents again.""",phishing
"""Your account protection requires immediate action.""",phishing
"""Your email account has suspicious activity. Secure it now.""",phishing
"""Your banking access has been disabled. Restore it immediately.""",phishing
"""Your account information must be updated today.""",phishing
"""Your security token has expired. Request a new one now.""",phishing
"""Your account is temporarily unavailable. Verify to restore access.""",phishing
"""Your payment was declined. Confirm your card details.""",phishing
"""Your account has been selected for a security check.""",phishing
"""Your login details need confirmation before continuing.""",phishing
"""Your account has been marked as suspicious. Verify now.""",phishing
"""Your online profile requires immediate verification.""",phishing
"""Your account will lose access unless you confirm your identity.""",phishing
"""Security notification: Please confirm your account information.""",phishing
"""Your password recovery request requires verification.""",phishing
"""Your account settings have changed. Confirm if this was you.""",phishing
"""Your financial information requires security confirmation.""",phishing
"""Your account has encountered a security issue. Login now.""",phishing
"""Your account credentials need to be verified.""",phishing
"""Your service access is limited. Update your information.""",phishing
"""Your account has been frozen. Complete verification to unlock.""",phishing
"""Your bank profile requires immediate confirmation.""",phishing
"""Your email password needs renewal. Click to reset.""",phishing
"""Your account has detected unusual activity. Verify now.""",phishing
"""Your identity confirmation is required to continue using services.""",phishing
"""Your account has expired. Reactivate it by verifying details.""",phishing
"""Your security check failed. Confirm your information again.""",phishing
"""Your account requires additional authentication.""",phishing
"""Your payment account needs urgent verification.""",phishing
"""Your login attempt was blocked. Confirm your identity.""",phishing
"""Your account is at risk. Secure it immediately.""",phishing
"""Your account details must be updated before access is removed.""",phishing
"""Maybank security alert: Your account has unusual activity. Verify now.""",phishing
"""Touch 'n Go eWallet: Your account is locked. Confirm your identity immediately.""",phishing
"""Shopee security team: Your account requires verification to avoid suspension.""",phishing
"""Grab account warning: Please confirm your payment information.""",phishing
"""PayPal alert: Your account access has been restricted. Verify your details.""",phishing
"""Apple ID security notice: Your account has been disabled. Restore access now.""",phishing
"""Google account warning: Sign-in attempt detected. Confirm your identity.""",phishing
"""Microsoft account alert: Your password needs immediate verification.""",phishing
"""Netflix security notice: Update your payment details to continue service.""",phishing
"""Amazon security alert: Verify your account information to prevent closure.""",phishing
"""Your bank account has been frozen due to suspicious transactions.""",phishing
"""Your online banking password has expired. Reset it immediately.""",phishing
"""Security department requires your account verification within 24 hours.""",phishing
"""Your payment card has been blocked. Confirm your details to unlock it.""",phishing
"""Your e-wallet account needs identity verification before use.""",phishing
"""Your account has detected suspicious login from another country.""",phishing
"""Verify your banking information to avoid permanent account suspension.""",phishing
"""Your account recovery process requires personal information confirmation.""",phishing
"""Your email account has been hacked. Change your password immediately.""",phishing
"""Your account security level is low. Upgrade protection now.""",phishing
"""Your online shopping account has been compromised. Verify ownership.""",phishing
"""Your wallet balance is frozen. Complete verification to restore access.""",phishing
"""Your transaction is pending. Confirm your banking details.""",phishing
"""Your account has failed security verification. Submit information again.""",phishing
"""Your identity check is incomplete. Complete the process now.""",phishing
"""Your card payment failed. Update your card information immediately.""",phishing
"""Your account will be suspended due to incomplete verification.""",phishing
"""Security alert: Unknown device signed into your account.""",phishing
"""Your account requires two-factor authentication setup. Verify now.""",phishing
"""Your login information has expired. Confirm your credentials.""",phishing
"""Your account has been flagged for suspicious behavior.""",phishing
"""Your bank needs additional information to approve your transaction.""",phishing
"""Your online account will be deleted unless action is taken.""",phishing
"""Your account access has been limited. Verify your personal details.""",phishing
"""Your password reset link is ready. Confirm your account first.""",phishing
"""Your account has a critical security issue. Login to fix it.""",phishing
"""Your financial profile requires immediate verification.""",phishing
"""Your payment method needs confirmation to avoid service interruption.""",phishing
"""Your account ownership must be confirmed today.""",phishing
"""Your security certificate has expired. Renew your account now.""",phishing
"""Your account has been selected for mandatory verification.""",phishing
"""Your login attempt requires confirmation. Verify immediately.""",phishing
"""Your online service has detected unauthorized access.""",phishing
"""Your account information does not match our records. Update now.""",phishing
"""Your bank security team requests confirmation of your details.""",phishing
"""Your account is temporarily disabled. Verify to reactivate.""",phishing
"""Your payment account has suspicious activity. Review now.""",phishing
"""Your email service requires password confirmation.""",phishing
"""Your account has reached a security limit. Verify your identity.""",phishing
"""Your account needs urgent recovery. Submit your details.""",phishing
"""Your mobile banking access has been suspended. Restore it now.""",phishing
"""Your account requires a security update before continuing.""",phishing
"""Your identity verification expires today. Complete it immediately.""",phishing
"""Your account has an unauthorized transaction. Confirm your information.""",phishing
"""Your bank card security check requires verification.""",phishing
"""Your account has been temporarily restricted. Click to unlock.""",phishing
"""Your online profile needs confirmation due to security reasons.""",phishing
"""Your account has suspicious activity from a new location.""",phishing
"""Your payment details have changed. Confirm this update.""",phishing
"""Your account protection needs renewal. Verify now.""",phishing
"""Your service provider detected unusual account behavior.""",phishing
"""Your account recovery requires a security code confirmation.""",phishing
"""Your personal information needs updating to maintain access.""",phishing
"""Your account login has been blocked. Confirm your identity.""",phishing
"""Your financial account requires immediate action.""",phishing
"""Your account has been locked after multiple failed attempts.""",phishing
"""Your security settings require verification.""",phishing
"""Your account access will expire soon. Confirm now.""",phishing
"""Your payment account has been suspended temporarily.""",phishing
"""Your account has been reported for suspicious activity.""",phishing
"""Your bank requires confirmation before processing your transaction.""",phishing
"""Your account details must be reviewed immediately.""",phishing
"""Your email storage is full. Login to increase your limit.""",phishing
"""Your account has a pending security review.""",phishing
"""Your identity has not been verified. Complete the process.""",phishing
"""Your account will be disabled if verification is not completed.""",phishing
"""Your card information needs to be updated urgently.""",phishing
"""Your online account requires a new security confirmation.""",phishing
"""Your account has unauthorized access attempts. Secure it now.""",phishing
"""Your password has been changed. Confirm if this was you.""",phishing
"""Your account has a suspicious payment request.""",phishing
"""Your banking session requires re-authentication.""",phishing
"""Your account verification deadline is approaching.""",phishing
"""Your account has been selected for security inspection.""",phishing
"""Your login credentials are at risk. Update them now.""",phishing
"""Your account requires identity confirmation to continue.""",phishing
"""Your account has been blocked because of unusual activity.""",phishing
"""Your security verification failed. Try again immediately.""",phishing
"""Your payment information is incomplete. Update now.""",phishing
"""Your account access is restricted until verification.""",phishing
"""Your account has received a suspicious login alert.""",phishing
"""Your online banking account needs confirmation.""",phishing
"""Your account requires immediate security attention.""",phishing
"""Your profile has been marked for review. Verify now.""",phishing
"""Your account has expired. Reactivate it today.""",phishing
"""Your account security check requires additional information.""",phishing
"""Your account has a pending verification request.""",phishing
"""Your account has been compromised. Take action immediately.""",phishing
"""Your account has been flagged due to suspicious activity. Verify immediately.""",phishing
"""Security warning: Your login details may have been stolen. Change your password now.""",phishing
"""Your bank account requires confirmation before the transaction can proceed.""",phishing
"""Your account access has been temporarily disabled. Verify your identity.""",phishing
"""Your email account security has failed. Confirm your information now.""",phishing
"""Your account has an unauthorized login attempt. Secure your account immediately.""",phishing
"""Your payment has been declined. Update your billing information to continue.""",phishing
"""Your account verification is incomplete. Complete the process today.""",phishing
"""Your password reset request requires confirmation. Verify your account.""",phishing
"""Your account will be closed due to inactivity. Login to reactivate it.""",phishing
"""Your security information needs updating. Confirm your details now.""",phishing
"""Your bank detected unusual activity. Review your account immediately.""",phishing
"""Your account has been restricted. Submit your information to restore access.""",phishing
"""Your online account requires urgent verification.""",phishing
"""Your identity cannot be confirmed. Provide additional details now.""",phishing
"""Your account has been accessed from an unknown device.""",phishing
"""Your card has been blocked. Verify your payment details immediately.""",phishing
"""Your account security requires immediate attention.""",phishing
"""Your account has expired. Confirm your information to continue using services.""",phishing
"""Your transaction requires additional security verification.""",phishing
"""Your account has been locked. Click to unlock your access.""",phishing
"""Your online banking requires a security update.""",phishing
"""Your account details have changed. Confirm whether this was you.""",phishing
"""Your login session is invalid. Sign in again to verify.""",phishing
"""Your account is at risk. Complete verification now.""",phishing
"""Your personal details need confirmation to prevent account suspension.""",phishing
"""Your security code has expired. Request a new verification code.""",phishing
"""Your account has a pending verification request. Complete it immediately.""",phishing
"""Your payment account requires identity confirmation.""",phishing
"""Your account has suspicious activity from a foreign location.""",phishing
"""Your email password needs to be updated due to security concerns.""",phishing
"""Your account has been compromised. Follow the recovery steps now.""",phishing
"""Your account recovery requires confirmation of personal details.""",phishing
"""Your bank profile needs to be verified before the deadline.""",phishing
"""Your account access will be removed unless you verify now.""",phishing
"""Your security settings have changed. Confirm your account details.""",phishing
"""Your account has failed the security check. Verify again.""",phishing
"""Your payment card information requires immediate update.""",phishing
"""Your account has been placed under security review.""",phishing
"""Your account requires authentication before continuing.""",phishing
"""Your online wallet has been suspended. Verify to restore access.""",phishing
"""Your account has detected unauthorized activity. Login now.""",phishing
"""Your account information is outdated. Update it immediately.""",phishing
"""Your service account requires confirmation to avoid closure.""",phishing
"""Your account security alert requires your response.""",phishing
"""Your login credentials must be confirmed today.""",phishing
"""Your account has been frozen due to suspicious behavior.""",phishing
"""Your account requires a security check before access is restored.""",phishing
"""Your banking information needs verification immediately.""",phishing
"""Your account has received a suspicious request. Confirm now.""",phishing
